candidate_id,strategy,seed,bundle_size_target,n_bundles,avg_qualifiers_shown,avg_qualifier_time_seconds,total_respondents_used,all_categories_hit_target,min_completes,mean_interview_seconds,p95_interview_seconds,avg_surveys_per_respondent,share_2plus_surveys,share_3plus_surveys,max_exposure_deviation
17,random,3,25,4,19.25,28.875,8799,True,200,219.6209975180292,474.087109642569,1.7501988862370723,0.4514149335151722,0.4278895329014661,0.006372245800176835
18,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,473.6664472270058,1.640042598509052,0.4427050053248136,0.3995740149094782,0.008934064703442556
18,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,474.4781568576582,1.9751186353725791,0.5335385404642812,0.4839040656662819,0.007388755622188907
18,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,474.4882175861858,1.9725887024465223,0.5346483924682977,0.4794415268348918,0.007572649572649571
19,random,1,25,4,19.25,28.875,9390,True,200,207.44932451130342,475.11816209647804,1.640042598509052,0.4293929712460064,0.3976570820021299,0.008934064703442556
19,random,2,25,4,19.25,28.875,7797,True,200,244.0520914660945,475.8859974145889,1.9751186353725791,0.5210978581505707,0.4772348339104784,0.007388755622188907
19,random,3,25,4,19.25,28.875,7807,True,200,243.8538051954834,476.05627849465236,1.9725887024465223,0.5203022928141412,0.47931343665940823,0.007572649572649571
20,difficulty_balanced,1,25,4,19.25,28.875,7560,True,200,250.52336734935702,474.12265450791455,2.037037037037037,0.5338624338624338,0.4935185185185185,0.009604957983193278
20,difficulty_balanced,2,25,4,19.25,28.875,8700,True,200,221.4623743863378,473.18664199579507,1.7701149425287357,0.4654022988505747,0.4286206896551724,0.007102084277299503
20,difficulty_balanced,3,25,4,19.25,28.875,8053,True,200,236.94333256688674,473.361697061453,1.9123308083943873,0.5041599403948839,0.4635539550478083,0.006842185686653773
21,difficulty_balanced,1,25,4,19.25,28.875,7560,True,200,250.52336734935702,474.12265450791455,2.037037037037037,0.5338624338624338,0.4935185185185185,0.009604957983193278
21,difficulty_balanced,2,25,4,19.25,28.875,8700,True,200,221.4623743863378,473.18664199579507,1.7701149425287357,0.4654022988505747,0.4286206896551724,0.007102084277299503
21,difficulty_balanced,3,25,4,19.25,28.875,8053,True,200,236.94333256688674,473.361697061453,1.9123308083943873,0.5041599403948839,0.4635539550478083,0.006842185686653773
22,difficulty_balanced,1,25,4,19.25,28.875,7560,True,200,250.52336734935702,474.12265450791455,2.037037037037037,0.5338624338624338,0.4935185185185185,0.009604957983193278
